
# Surface 0 of 1 surfaces

# Curve title: ""o_argB_all""
# IsoCurve 0, 401 points
# x y z type
 200  157 -0.896038 i
 200  158 -0.891514 i
 200  159 -0.887024 i
 200  160 -0.882569 i
 200  161 -0.878148 i
 200  162 -0.873761 i
 200  163 -0.869407 i
 200  164 -0.865087 i
 200  165 -0.8608 i
 200  166 -0.856546 i
 200  167 -0.852325 i
 200  168 -0.848136 i
 200  169 -0.84398 i
 200  170 -0.839855 i
 200  171 -0.835762 i
 200  172 -0.831701 i
 200  173 -0.827671 i
 200  174 -0.823671 i
 200  175 -0.819703 i
 200  176 -0.815765 i
 200  177 -0.811856 i
 200  178 -0.807978 i
 200  179 -0.80413 i
 200  180 -0.80031 i
 200  181 -0.79652 i
 200  182 -0.792759 i
 200  183 -0.789025 i
 200  184 -0.785321 i
 200  185 -0.781644 i
 200  186 -0.777994 i
 200  187 -0.774373 i
 200  188 -0.770778 i
 200  189 -0.76721 i
 200  190 -0.763668 i
 200  191 -0.760153 i
 200  192 -0.756664 i
 200  193 -0.753201 i
 200  194 -0.749763 i
 200  195 -0.74635 i
 200  196 -0.742963 i
 200  197 -0.7396 i
 200  198 -0.736263 i
 200  199 -0.732971 i
 200  200 -0.729953 i

# IsoCurve 1, 401 points
# x y z type
 199 -200  0.726934 i
 199 -199  0.729953 i
 199 -198  0.733243 i
 199 -197  0.736578 i
 199 -196  0.73994 i
 199 -195  0.743326 i
 199 -194  0.746738 i
 199 -193  0.750175 i
 199 -192  0.753637 i
 199 -191  0.757125 i
 199 -190  0.76064 i
 199 -189  0.764181 i
 199 -188  0.767748 i
 199 -187  0.771343 i
 199 -186  0.774964 i
 199 -185  0.778613 i
 199 -184  0.78229 i
 199 -183  0.785995 i
 199 -182  0.789729 i
 199 -181  0.793491 i
 199 -180  0.797281 i
 199 -179  0.801101 i
 199 -178  0.804951 i
 199 -177  0.80883 i
 199 -176  0.812739 i
 199 -175  0.816679 i
 199 -174  0.820649 i
 199 -173  0.82465 i
 199 -172  0.828682 i
 199 -171  0.832745 i
 199 -170  0.83684 i
 199 -169  0.840967 i
 199 -168  0.845126 i
 199 -167  0.849318 i
 199 -166  0.853542 i
 199 -165  0.857799 i
 199 -164  0.862089 i
 199 -163  0.866413 i
 199 -162  0.87077 i
 199 -161  0.875162 i
 199 -160  0.879587 i
 199 -159  0.884047 i
 199 -158  0.888541 i
 199 -157  0.89307 i
 199 -156  0.897634 i
 199 -155  0.902233 i
 199 -154  0.906867 i
 199 -153  0.911537 i
 199 -152  0.916243 i
 199 -151  0.920985 i
 199 -150  0.925762 i
 199 -149  0.930576 i
 199 -148  0.935426 i
 199 -147  0.940313 i
 199 -146  0.945236 i
 199 -145  0.950196 i
 199 -144  0.955193 i
 199 -143  0.960226 i
 199 -142  0.965296 i
 199 -141  0.970404 i
 199 -140  0.975548 i
 199 -139  0.980729 i
 199 -138  0.985947 i
 199 -137  0.991203 i
 199 -136  0.996495 i
 199 -135 -0.998176 i
 199 -134 -0.99281 i
 199 -133 -0.987407 i
 199 -132 -0.981968 i
 199 -131 -0.976491 i
 199 -130 -0.970979 i
 199 -129 -0.96543 i
 199 -128 -0.959845 i
 199 -127 -0.954224 i
 199 -126 -0.948568 i
 199 -125 -0.942876 i
 199 -124 -0.937149 i
 199 -123 -0.931387 i
 199 -122 -0.925591 i
 199 -121 -0.91976 i
 199 -120 -0.913896 i
 199 -119 -0.907998 i
 199 -118 -0.902067 i
 199 -117 -0.896104 i
 199 -116 -0.890109 i
 199 -115 -0.884082 i
 199 -114 -0.878024 i
 199 -113 -0.871936 i
 199 -112 -0.865817 i
 199 -111 -0.85967 i
 199 -110 -0.853493 i
 199 -109 -0.847289 i
 199 -108 -0.841058 i
 199 -107 -0.8348 i
 199 -106 -0.828516 i
 199 -105 -0.822208 i
 199 -104 -0.815876 i
 199 -103 -0.80952 i
 199 -102 -0.803142 i
 199 -101 -0.796743 i
 199 -100 -0.790323 i
 199 -99 -0.783883 i
 199 -98 -0.777425 i
 199 -97 -0.770949 i
 199 -96 -0.764457 i
 199 -95 -0.757949 i
 199 -94 -0.751427 i
 199 -93 -0.744891 i
 199 -92 -0.738342 i
 199 -91 -0.731782 i
 199 -90 -0.725212 i
 199 -89 -0.718633 i
 199 -88 -0.712044 i
 199 -87 -0.705449 i
 199 -86 -0.698847 i
 199 -85 -0.69224 i
 199 -84 -0.685629 i
 199 -83 -0.679014 i
 199 -82 -0.672397 i
 199 -81 -0.665778 i
 199 -80 -0.659158 i
 199 -79 -0.652538 i
 199 -78 -0.645918 i
 199 -77 -0.639299 i
 199 -76 -0.632682 i
 199 -75 -0.626067 i
 199 -74 -0.619455 i
 199 -73 -0.612846 i
 199 -72 -0.60624 i
 199 -71 -0.599637 i
 199 -70 -0.593038 i
 199 -69 -0.586441 i
 199 -68 -0.579849 i
 199 -67 -0.573259 i
 199 -66 -0.566672 i
 199 -65 -0.560087 i
 199 -64 -0.553503 i
 199 -63 -0.546921 i
 199 -62 -0.540339 i
 199 -61 -0.533756 i
 199 -60 -0.52717 i
 199 -59 -0.520582 i
 199 -58 -0.51399 i
 199 -57 -0.507392 i
 199 -56 -0.500787 i
 199 -55 -0.494172 i
 199 -54 -0.487546 i
 199 -53 -0.480908 i
 199 -52 -0.474255 i
 199 -51 -0.467584 i
 199 -50 -0.460894 i
 199 -49 -0.454181 i
 199 -48 -0.447443 i
 199 -47 -0.440677 i
 199 -46 -0.43388 i
 199 -45 -0.427048 i
 199 -44 -0.420179 i
 199 -43 -0.413269 i
 199 -42 -0.406314 i
 199 -41 -0.39931 i
 199 -40 -0.392252 i
 199 -39 -0.385137 i
 199 -38 -0.37796 i
 199 -37 -0.370716 i
 199 -36 -0.3634 i
 199 -35 -0.356007 i
 199 -34 -0.348531 i
 199 -33 -0.340967 i
 199 -32 -0.333308 i
 199 -31 -0.325549 i
 199 -30 -0.317682 i
 199 -29 -0.3097 i
 199 -28 -0.301598 i
 199 -27 -0.293367 i
 199 -26 -0.284999 i
 199 -25 -0.276487 i
 199 -24 -0.267822 i
 199 -23 -0.258997 i
 199 -22 -0.250002 i
